HardData
3
X
Y
Val
25 25 0.5
50 25 -0.5
75 25 -0.5
100 25 0.5
125 25 -0.5
150 25 0.5
175 25 0.5
200 25 0.5
225 25 0.5
25 50 -0.5
50 50 -0.5
75 50 0.5
100 50 0.5
125 50 -0.5
150 50 0.5
175 50 -0.5
200 50 -0.5
225 50 0.5
25  75 -0.5
50  75 0.5
75  75 -0.5
100 75 0.5
125 75 -0.5
150 75 -0.5
175 75 0.5
200 75 -0.5
225 75 0.5
25  100 0.5
50  100 -0.5
75  100 0.5
100 100 -0.5
125 100 -0.5
150 100 0.5
175 100 0.5
200 100 -0.5
225 100 0.5
25  125 0.5
50  125 0.5
75  125 -0.5
100 125 0.5
125 125 -0.5
150 125 0.5
175 125 -0.5
200 125 -0.5
225 125 0.5
25  150 -0.5
50  150 0.5
75  150 -0.5
100 150 0.5
125 150 0.5
150 150 0.5
175 150 0.5
200 150 -0.5
225 150 -0.5
25  175 -0.5
50  175 0.5
75  175 -0.5
100 175 0.5
125 175 -0.5
150 175 0.5
175 175 0.5
200 175 -0.5
225 175 0.5
25  200 -0.5
50  200 0.5
75  200 -0.5
100 200 0.5
125 200 0.5
150 200 -0.5
175 200 0.5
200 200 -0.5
225 200 0.5
25  225 -0.5
50  225 -0.5
75  225 0.5
100 225 -0.5
125 225 0.5
150 225 -0.5
175 225 0.5
200 225 0.5
225 225 -0.5
